순번,CATEID,KAKAO_RY_BG_ZCD,KAKAO_RY_MD_ZCD,KAKAO_RY_SL_ZCD,CATEID_NM,KAKAO_RY_BG_ZCD_NM,KAKAO_RY_MD_ZCD_NM,KAKAO_RY_SL_ZCD_NM,NAME1,NAME2,NAME3,CATENAME
,카카오업종코드,카카오업종대분류코드,카카오업종중분류코드,카카오업종소분류코드,카카오업종코드명,카카오업종대분류명,카카오업종중분류명,카카오업종소분류명,카카오업종분류명1,카카오업종분류명2,카카오업종분류명3,카카오업종분류명
1,5,5,,,가정^생활,가정^생활,,,가정^생활,,,가정^생활
2,2829,5,2829,,가구판매,가정^생활,가구판매,,가정^생활,가구판매,,가구판매
3,18085,5,2829,,가구판매,가정^생활,가구판매,,가정^생활,가구판매,가구거리,가구거리
4,22225,5,2829,,가구판매,가정^생활,가구판매,,가정^생활,가구판매,까사미아,까사미아
5,22226,5,2829,,가구판매,가정^생활,가구판매,,가정^생활,가구판매,리바트,리바트
6,22396,5,2829,,가구판매,가정^생활,가구판매,,가정^생활,가구판매,밴키즈,밴키즈
7,22946,5,2829,,가구판매,가정^생활,가구판매,,가정^생활,가구판매,에이스침대,에이스침대
8,2857,5,2829,,가구판매,가정^생활,가구판매,,가정^생활,가구판매,장인가구,장인가구
9,3011,5,2829,,가구판매,가정^생활,가구판매,,가정^생활,가구판매,한샘,한샘
10,151,5,151,,결혼,가정^생활,결혼,,가정^생활,결혼,,결혼
11,855,5,151,855,결혼정보회사,가정^생활,결혼,결혼정보회사,가정^생활,결혼,결혼정보회사,결혼정보회사
12,3312,5,151,3312,예식관련기타,가정^생활,결혼,예식관련기타,가정^생활,결혼,예식관련기타,예식관련기타
13,332,5,151,332,예식장,가정^생활,결혼,예식장,가정^생활,결혼,예식장,예식장
14,856,5,151,856,웨딩드레스,가정^생활,결혼,웨딩드레스,가정^생활,결혼,웨딩드레스,웨딩드레스
15,750,5,151,750,웨딩스튜디오,가정^생활,결혼,웨딩스튜디오,가정^생활,결혼,웨딩스튜디오,웨딩스튜디오
16,22395,5,151,22395,웨딩컨설팅,가정^생활,결혼,웨딩컨설팅,가정^생활,결혼,웨딩컨설팅,웨딩컨설팅
17,22459,5,151,22459,혼수용품,가정^생활,결혼,혼수용품,가정^생활,결혼,혼수용품,혼수용품
18,325,5,325,,꽃집^꽃배달,가정^생활,꽃집^꽃배달,,가정^생활,꽃집^꽃배달,,꽃집^꽃배달
19,853,5,853,,대형마트,가정^생활,대형마트,,가정^생활,대형마트,,대형마트
20,17260,5,853,,대형마트,가정^생활,대형마트,,가정^생활,대형마트,롯데 빅마켓,롯데 빅마켓
